id,name,description,unit_price,merchant_id,created_at,updated_at
1,Item1,Blue,10,1,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
2,Item2,Blue,20,2,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
3,Item3,Blue,30,3,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
4,Item4,Blue,40,4,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
5,Item5,Blue,50,5,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
6,Item6,Blue,60,6,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
7,Item7,Blue,70,7,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
8,Item8,Blue,80,8,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
9,Item9,Blue,90,9,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
10,Item10,Blue,100,10,2012-03-27 14:53:59 UTC,2012-03-27 14:53:59 UTC
